1000268201_693b08cb0e.jpg#0	ピンクのドレスを着た子供は、入り口で階段を登っています。
2833582518_074bef3ed6.jpg#4	＃2グレイハウンド犬はトラックを走り回っています。
2833820456_143ea6ce47.jpg#0	スイカを食べたり、ジュースを飲みたりしようとしている女の子。
2833820456_143ea6ce47.jpg#1	小さな女の子が、ジュースの水差しとスイカのスライスのあるテーブルに座っています。
2833820456_143ea6ce47.jpg#2	小さな女の子が屋外のテーブルに座ってスイカを食べます。
2833820456_143ea6ce47.jpg#3	レモネードとスイカを販売するカードテーブルの若い女の子。
2833820456_143ea6ce47.jpg#4	レモネードとスイカのスライスを販売するテーブルに座っている若い女の子。
2834103050_512e5b330a.jpg#0	砂の上に立っている人がいるビーチ
2834103050_512e5b330a.jpg#1	緑の日陰を持つ女性がビーチで販売商人を追い越しています。
2834103050_512e5b330a.jpg#2	多くの人が晴れた日にビーチを歩いています。
2834103050_512e5b330a.jpg#3	水着、ドレス、ショートパンツを着た人々は、展示の近くにあります。
2834103050_512e5b330a.jpg#4	ビーチに立っている人々、緑の傘の下に1つ
283428775_a3665bee7c.jpg#0	カラフルなおもちゃを獲得する芝生の畑の黒い犬。
283428775_a3665bee7c.jpg#1	黒い犬が口にカラフルなおもちゃを持って長い草を走っています。
283428775_a3665bee7c.jpg#2	畑でおもちゃを捕まえる犬
283428775_a3665bee7c.jpg#3	ブラックレトリバーは、乾燥した草の中で多色のおもちゃで遊んでいます。
283428775_a3665bee7c.jpg#4	黒い犬は、フィールドで走っている間、口の中でおもちゃを捕まえます。
2834752476_3177e617f1.jpg#0	若い男がソファの上に座って喫煙します。
2834752476_3177e617f1.jpg#1	ユニークなソファの上に座っている間、ボラを吸う若い男が喫煙します。
2834752476_3177e617f1.jpg#2	ソファで喫煙する男。
2834752476_3177e617f1.jpg#3	若い男はソファに座ってタバコを吸っています。
2834752476_3177e617f1.jpg#4	黒いシャツを着た若い男は、カラフルな部屋でソファで喫煙します
2836325261_a3bf5c59be.jpg#0	赤いドレスを着た女性がバグパイプを演奏しています。
2836325261_a3bf5c59be.jpg#1	楽器を演奏する赤いドレスを着た女性。
2836325261_a3bf5c59be.jpg#2	バグパイプや同様の楽器を演奏する赤い中世のドレスを着た女性。
2836325261_a3bf5c59be.jpg#3	衣装を着た女性がバグパイプを演奏しています。
2836325261_a3bf5c59be.jpg#4	赤い衣装を着た女性は、レンガの壁に対して楽器を演奏します。
2836360729_6500249fe6.jpg#0	モスに埋葬された人。
2836360729_6500249fe6.jpg#1	女性がたくさんの海藻に覆われたビーチに座っています。
2836360729_6500249fe6.jpg#2	ビーチの女性は海藻で覆われています。
2836360729_6500249fe6.jpg#3	若い人は、ビーチの海藻の山に埋葬されています。
2836360729_6500249fe6.jpg#4	ビーチの笑顔の女性は海藻に埋葬されています。
2836553263_b1a08c25ea.jpg#0	自転車に乗っている少年は止まり、カメラマンを振り返ります。
2836553263_b1a08c25ea.jpg#1	女性が通り過ぎると、男の子が自転車のトレイルで自転車で立ち止まりました
2836553263_b1a08c25ea.jpg#2	自転車に黒いシャツと白いショートパンツを持っている少年は、自分の後ろを見るようになっています。
2836553263_b1a08c25ea.jpg#3	ヘルメットを着て自転車でポーズをとっている小さな男の子。
2836553263_b1a08c25ea.jpg#4	森を通る道路に自転車を持っている少年
2836703077_fa9c736203.jpg#0	2人の子供が青い遊園地に乗っています。
2836703077_fa9c736203.jpg#1	カーニバルに乗っている2人の子供、バックグラウンドの木。
2836703077_fa9c736203.jpg#2	乗車中の2人の子供
2836703077_fa9c736203.jpg#3	青いジェットコースターの笑顔に乗っている2人の子供。
2836703077_fa9c736203.jpg#4	2人の子供が遊園地に乗る。
2836808985_b26e4ca09e.jpg#0	フランネルのシャツと黒いズボンを着た男が、手すりを見渡す船の上に座っています。
2836808985_b26e4ca09e.jpg#1	金属製のバーの後ろに座っているフランネルシャツを着た男。
2836808985_b26e4ca09e.jpg#2	男はポールと笑顔に足を持って座っています。
2836808985_b26e4ca09e.jpg#3	地面に座っている男は、手すりに向かって足を支えます。
2836808985_b26e4ca09e.jpg#4	格子縞のシャツを着た若い男がボートのデッキに座っています。
2836864045_9a093cfd65.jpg#0	黒と白の犬は、草の上に白いフリスビーを運びます。
2836864045_9a093cfd65.jpg#1	黒と白の犬がフリスビーを返します。
2836864045_9a093cfd65.jpg#2	黒、茶色、白い犬がフリスビーを運んでいます。
2836864045_9a093cfd65.jpg#3	口の中に白いフリスビーと一緒に走っている黒、茶色、白い犬。
2836864045_9a093cfd65.jpg#4	犬が散歩し、口にフリスビーを持っています。
2837127816_24441e5f7c.jpg#0	男は、遊び場に入るために障壁を通過しようとしている犬を追いかけます。
2837127816_24441e5f7c.jpg#1	障害物コースを受講するにつれて、男は黒と白の犬に従います。
2837127816_24441e5f7c.jpg#2	人々が近くのテントから見ているように、男は犬と一緒に走ります。
2837127816_24441e5f7c.jpg#3	犬はトレーナーと障害物コースをします。
2837127816_24441e5f7c.jpg#4	男はポールを通してジグザグに犬を訓練しています。
2837640996_0183db8d93.jpg#0	男が足を上げて電話で話します。
2837640996_0183db8d93.jpg#1	緑のTシャツを着た男が足を棚に置いて座って電話で話します。
2837640996_0183db8d93.jpg#2	電話を使用して足を上げた男。
2837640996_0183db8d93.jpg#3	赤い帽子と緑のシャツを着た座った男は電話で話している。
2837640996_0183db8d93.jpg#4	緑のTシャツを着た男は、携帯電話で話している間、足を上げています。
2837799692_2f1c50722a.jpg#0	フットボール選手の数字は25です。
2837799692_2f1c50722a.jpg#1	サッカー選手、彼のヘルメットは半分離れていて、地面を見ています。
2837799692_2f1c50722a.jpg#2	白いユニフォームを着たサッカー選手が散歩をして見下ろしています。
2837799692_2f1c50722a.jpg#3	マイアミ大学フットボール選手＃25。
2837799692_2f1c50722a.jpg#4	サッカー選手＃25のクローズアップ。
2837808847_5407af1986.jpg#0	ボートの下に波がある海の端にある茶色の犬と黒い犬が背景の水の上にあります。
2837808847_5407af1986.jpg#1	2匹の犬、1つは茶色ともう1つの黒が浅い海水でサーフで遊んでいます。
2837808847_5407af1986.jpg#2	波で遊ぶ2匹の犬。
2837808847_5407af1986.jpg#3	2匹の犬が水中で遊んでいます。
2837808847_5407af1986.jpg#4	2匹の犬が海に背中を背中に立っています。
2837908308_8bc25c6b02.jpg#0	茶色の犬がカラフルなポールと数字のコーンを飛び越えます。
2837908308_8bc25c6b02.jpg#1	障害物のハードルを飛び越える犬。
2837908308_8bc25c6b02.jpg#2	大きな黄褐色の犬がコースでハードルを飛び越えています。
2837908308_8bc25c6b02.jpg#3	障害物を飛び越える黄褐色の犬。
2837908308_8bc25c6b02.jpg#4	黄褐色の犬が紫と緑の門を飛び越えます。
2838085973_42b6e9b5b1.jpg#0	サッカー選手がボールを投げる準備をします。
2838085973_42b6e9b5b1.jpg#1	サッカーを持っている男、群衆が彼を見ている。
2838085973_42b6e9b5b1.jpg#2	白いユニフォームを着ている男がサッカーをしています。
2838085973_42b6e9b5b1.jpg#3	フロリダ大学のクォーターバック
2838085973_42b6e9b5b1.jpg#4	サッカー選手は、近くの見物人と遊ぶ準備をしています。
2838125339_3dd314e315.jpg#0	木製の壁にジャンプする茶色の犬もいます
2838125339_3dd314e315.jpg#1	3人が見ている間、大きな茶色の犬が背の高いフェンスを登ります。
2838125339_3dd314e315.jpg#2	大きな壁を飛び越える訓練を受けた警察犬
2838125339_3dd314e315.jpg#3	壁を登る犬
2838125339_3dd314e315.jpg#4	犬が草の畑で木製の壁を拡大するのを見ると、人々は見ています。
2838619742_eed855d8a8.jpg#0	半分の裸の男がイチジクの木の幹に押し付けます。
2838619742_eed855d8a8.jpg#1	シャツのない男が岩の棚に登っています。
2838619742_eed855d8a8.jpg#2	シャツのない男はロッククライミングです。
2838619742_eed855d8a8.jpg#3	上半身裸の男が岩の壁に登ります。
2838619742_eed855d8a8.jpg#4	非常に健康な男が木に寄りかかっています。
2839038702_e168128665.jpg#0	丘の上に立っている彼の口に棒を持った黒と白の犬。
2839038702_e168128665.jpg#1	犬が芝生の平野でキャッチをしています
2839038702_e168128665.jpg#2	犬が山の頂上に立って見ています。
2839038702_e168128665.jpg#3	犬が丘の上に立って、口に棒を置いて谷に向かっています。
2839038702_e168128665.jpg#4	口に棒を保持している茶色の犬
2839532455_36a7dc4758.jpg#0	黒、白、茶色の犬は、砂の上で緑とピンクのボールで遊んでいます。
2839532455_36a7dc4758.jpg#1	犬は砂の中にあり、ピンクと緑のテニスボールを口に入れています。
2839532455_36a7dc4758.jpg#2	小さな犬が砂の中でカラフルなボールで遊んでいます。
2839532455_36a7dc4758.jpg#3	小さなテリアがビーチでテニスボールでプレーします。
2839532455_36a7dc4758.jpg#4	暗い斑点を持つ白い犬は、口にテニスボールを持って砂の中で遊んでいます。
2839789830_89668775a4.jpg#0	黒人と白の犬が草が茂った畑でフリスビーを捕まえます。
2839789830_89668775a4.jpg#1	白いフリスビーを捕まえるために空中にジャンプする黒と白の犬。
2839789830_89668775a4.jpg#2	フリスビーを捕まえるためにジャンプする犬。
2839789830_89668775a4.jpg#3	黒と白の犬は空中にジャンプして、草が茂った畑で白いフリスビーを捕まえます。
2839789830_89668775a4.jpg#4	犬は飛び跳ねてフリスビーを捕まえようとします。
2839807428_efe42423f2.jpg#0	コリーは、服従競争で白いフリスビーを捕まえます。
2839807428_efe42423f2.jpg#1	犬が飛び上がって、犬のショーで白いテントの前でフリスビーを捕まえています。
2839807428_efe42423f2.jpg#2	犬がジャンプして、男が見ているようにフリスビーを捕まえます。
2839807428_efe42423f2.jpg#3	フリスビーを捕まえるために空中に飛び込んでいる黒犬。
2839807428_efe42423f2.jpg#4	フリスビーを捕まえるために空中で飛び降りる犬。
2839890871_4b7c7dbd96.jpg#0	子どもたちは武道トーナメントに参加します。
2839890871_4b7c7dbd96.jpg#1	2人の男の子は青いマットの上で武道をします。
2839890871_4b7c7dbd96.jpg#2	白い衣装を着た2人の子供とマットの上の赤い保護具のスパー。
2839890871_4b7c7dbd96.jpg#3	青いマットで格闘技のギアと戦う2人の子供。
2839890871_4b7c7dbd96.jpg#4	赤いヘルメットを持つ2人の子供が武道のスパーリングに従事しています。
2839932205_3c9c27cd99.jpg#0	金髪の人が薄い岩の崖の顔を登ります。
2839932205_3c9c27cd99.jpg#1	ロックフェイスに登る女の子。
2839932205_3c9c27cd99.jpg#2	大きな岩の壁の登山の最上部にいる女の子。
2839932205_3c9c27cd99.jpg#3	人が岩の顔を登ります。
2839932205_3c9c27cd99.jpg#4	人が岩の崖の頂上に登っています。
2840344516_8e15fe2668.jpg#0	誰かがビーチで見ている間、ボートが外に出ます。
2840344516_8e15fe2668.jpg#1	オレンジ色のボートは、人が近くを見ている間、海岸を出ます。
2840344516_8e15fe2668.jpg#2	オレンジ色の救命ボートはモバイルランチャーから遠ざかりますが、赤い人が航海します。
2840344516_8e15fe2668.jpg#3	車が海岸にある赤いスタンドの男として、車両が水にボートを放出したばかりです。
2840344516_8e15fe2668.jpg#4	ボートは急いだ。
2841449931_84a05850ec.jpg#0	ピンクのシャツとサングラスを着た男が太陽の下に座っています。
2841449931_84a05850ec.jpg#1	ピンクのシャツにサングラスを持った男。
2841449931_84a05850ec.jpg#2	何かを見て座っている老人。
2841449931_84a05850ec.jpg#3	ピンクのシャツとサングラスを着た年配の男性が座っています。
2841449931_84a05850ec.jpg#4	男はサングラスとピンクのシャツを着ています
2842032768_9d9ce04385.jpg#0	茶色のプードルで遊んでいる間、赤い噛むおもちゃを運ぶ黒いプードル。
2842032768_9d9ce04385.jpg#1	口の中におもちゃの黒いプードル
2842032768_9d9ce04385.jpg#2	おもちゃと黄色い犬を添えた黒犬1匹。
2842032768_9d9ce04385.jpg#3	これらの2つのプードル、1つは黒と1つの茶色が演奏しています。
2842032768_9d9ce04385.jpg#4	赤いおもちゃで遊ぶ2つのプードル。
2842439618_fb20fe2215.jpg#0	人がサーフボードの上に立って、大きな波に乗っています。
2842439618_fb20fe2215.jpg#1	他の人がそれに向かっている間、人は波でサーフィンをしています。
2842439618_fb20fe2215.jpg#2	黒いウェットスーツのサーファーが波を捕まえ、別の人が彼に追いつくことを試みます。
2842439618_fb20fe2215.jpg#3	あるサーファーは波に乗っている間、別のサーファーが波の基部にパドルします。
2842439618_fb20fe2215.jpg#4	誰かが波に沿ってサーフィンしており、他の誰かが近くに泳いでいます。
2842609837_b3a0b383f7.jpg#0	4人の友人のグループがパーティーでアルコールを飲んでいます。
2842609837_b3a0b383f7.jpg#1	黒い髪を持っている3人の女性がいる黒いスタンドを着ている男性。
2842609837_b3a0b383f7.jpg#2	3人のブロンドの女性が、黒いナイキキャップを持った男性の隣に立って、ビールを手に入れたシャツを着ています。
2842609837_b3a0b383f7.jpg#3	3人の女性と飲み物を持っている男性は、写真のためにポーズをとっています。
2842609837_b3a0b383f7.jpg#4	3人の女性と男性が一緒に飲み物を持ってポーズをとります。
284279868_2ca98e3dcd.jpg#0	黒と茶色の犬は雪の畑で遊んでいます。
284279868_2ca98e3dcd.jpg#1	2匹の茶色の犬が雪の畑で遊んでいます。
284279868_2ca98e3dcd.jpg#2	2匹の犬が雪の中で遊んでいます。
284279868_2ca98e3dcd.jpg#3	2匹の犬が雪の畑で遊んでいます
284279868_2ca98e3dcd.jpg#4	2匹の長い髪の犬が雪の中で遊んでいます。
2842849030_89548af61c.jpg#0	水ウィングを着たプールの子供。
2842849030_89548af61c.jpg#1	オレンジ色の水の翼があるプールの端で水をかき回す子供。
2842849030_89548af61c.jpg#2	オレンジ色のフロートを着ている間、子供はプールで遊びます。
2842849030_89548af61c.jpg#3	オレンジと白の翼のある子供がプールで遊んでいます。
2842849030_89548af61c.jpg#4	小さな男の子がスイミングプールで水の翼を着ています。
2842865689_e37256d9ce.jpg#0	アフリカの男性と少年が青い部屋の粗い木製のテーブルの後ろに立っています。
2842865689_e37256d9ce.jpg#1	青い部屋の茶色のテーブルに座っている少年と年上の女性。
2842865689_e37256d9ce.jpg#2	黄色いシャツを着た人は、木製のピクニックテーブルで子供と一緒に座っています。
2842865689_e37256d9ce.jpg#3	2人が青い壁のある部屋のテーブルの前に座っています。
2842865689_e37256d9ce.jpg#4	ラットの木製の座席とテーブルがある青い部屋に座っている2人。
2843695880_eeea6c67db.jpg#0	太陽が沈むと、2人の男の子が海に立っています。
2843695880_eeea6c67db.jpg#1	太陽が水からカスケードすると、2人が水の中を歩いています。
2843695880_eeea6c67db.jpg#2	水中に2人。
2843695880_eeea6c67db.jpg#3	二人は海の奥深くに肘を立てて、夕日を見ています。
2843695880_eeea6c67db.jpg#4	二人は日没時に水で泳ぎます。
2844018783_524b08e5aa.jpg#0	建設中の建物の3人の男の子。
2844018783_524b08e5aa.jpg#1	3人の男の子が未完成の建物で遊んでいます。
2844018783_524b08e5aa.jpg#2	未完成のスペースで遊んでいる3人の男の子。
2844018783_524b08e5aa.jpg#3	未完成の家の床で3人の小さな男の子が遊んでいます。
2844018783_524b08e5aa.jpg#4	2人の若い男の子が座って、1人の若い男の子が未完成の木製の床に立っています。
284441196_8ebb216d0d.jpg#0	茶色と白の犬が草を横切って走ります。
284441196_8ebb216d0d.jpg#1	茶色と白の犬が緑の草を駆け抜けます。
284441196_8ebb216d0d.jpg#2	草の上を走る犬。
284441196_8ebb216d0d.jpg#3	犬が畑を走り回ります。
284441196_8ebb216d0d.jpg#4	白と茶色の犬は草の中を走っています。
2844641033_dab3715a99.jpg#0	砂で遊んでいるオレンジと白のトラックの黒人の男の子。
2844641033_dab3715a99.jpg#1	黒人の男の子が砂の中に座っています。
2844641033_dab3715a99.jpg#2	少年が砂の中で遊ぶ。
2844641033_dab3715a99.jpg#3	縞模様の水着を着た幼い子供が砂の上に座っています。
2844641033_dab3715a99.jpg#4	少年はシャツを着て砂の中に座っています。
2844747252_64567cf14a.jpg#0	小さな犬は、フィールドで荒れ果てている2匹の大きな犬を監視しています。
2844747252_64567cf14a.jpg#1	3匹の犬は、草が茂った畑で黄色いボールで遊んでいます。
2844747252_64567cf14a.jpg#2	3匹の犬がフィールドで一緒に遊んでいます。
2844747252_64567cf14a.jpg#3	2匹の犬がおもちゃで戦っており、別の犬が追いかけています。
2844747252_64567cf14a.jpg#4	2匹の犬が一緒に遊び、別の犬がフィールドで走ります。
2844846111_8c1cbfc75d.jpg#0	友達が見ている間、ギアのない大きな岩を登る男の登山家
2844846111_8c1cbfc75d.jpg#1	他の人が立って見ている間に岩に登っている人。
2844846111_8c1cbfc75d.jpg#2	他の人が見ているように、人は大きな岩からぶら下がっています。
2844846111_8c1cbfc75d.jpg#3	ロッククライマーは棚からぶら下がっていますが、他の人は見ています。
2844846111_8c1cbfc75d.jpg#4	観客が見ているように、岩からぶら下がっている男
2844963839_ff09cdb81f.jpg#0	サッカー選手のグループがフィールドの真ん中に集まった。
2844963839_ff09cdb81f.jpg#1	オレンジと青いユニフォームを着たサッカー選手のグループがフィールドに集まります。
2844963839_ff09cdb81f.jpg#2	青とオレンジ色のユニフォームのサッカー選手は、一緒に身を寄せて互いに抱きしめています。
2844963839_ff09cdb81f.jpg#3	制服を着たサッカー選手はお互いを受け入れます。
2844963839_ff09cdb81f.jpg#4	ゲーターズヘルメットの男性は、腕を包みました。
2845246160_d0d1bbd6f0.jpg#0	帽子と赤いシャツを着た男は、歩道で彼に向かって歩いている人に携帯電話を狙います。
2845246160_d0d1bbd6f0.jpg#1	赤いスウェットシャツと帽子をかぶった男が彼の電話を見ている間、黒人の別の男が歩道を下って彼に近づいています。
2845246160_d0d1bbd6f0.jpg#2	赤いスウェットシャツと麦わら帽子の男が携帯電話を使用しています。
2845246160_d0d1bbd6f0.jpg#3	麦わら帽子の男が携帯電話を日陰にし、他の人は忙しい歩道を歩きます。
2845246160_d0d1bbd6f0.jpg#4	通行人がイライラしているように見えますが、カメラで写真を撮っている男がいます。
2845691057_d4ab89d889.jpg#0	ブロンドの女性がレースカーの運転手よりも傘を持っています。
2845691057_d4ab89d889.jpg#1	彼がレースをしているストックカーのレースで雨の中の外のカップル。
2845691057_d4ab89d889.jpg#2	男性が傘を持つ女性の近くのレースカーに座っています。
2845691057_d4ab89d889.jpg#3	レースカーで人の上に傘を持っている女性。
2845691057_d4ab89d889.jpg#4	レースカードライバーの上に傘を持っている女性。
2845845721_d0bc113ff7.jpg#0	ジーンズの男性がボールで遊んでいますが、ジーンズの女性が近くに立って目をそらしています。
2845845721_d0bc113ff7.jpg#1	女性に向かって草を越えて走っている男性。
2845845721_d0bc113ff7.jpg#2	男性が彼女の後ろに走り回る間、女性が腰に手を置いて畑に立っています。
2845845721_d0bc113ff7.jpg#3	青い帽子の男性が走ると、黒を着ている女性は芝生の畑に立っています。
2845845721_d0bc113ff7.jpg#4	オフカメラを見ている分野の2人。
2846037553_1a1de50709.jpg#0	枝を登る少年。
2846037553_1a1de50709.jpg#1	赤いシャツと青いショートパンツを着た少年は、大きな木の枝の中に立っています。
2846037553_1a1de50709.jpg#2	木の枝を歩いている赤いシャツを着た男の子。
2846037553_1a1de50709.jpg#3	赤いシャツを着た子供が遊びの装備に登ります。
2846037553_1a1de50709.jpg#4	赤の小さな男の子が木の中の枝の間に歩いています。
2846785268_904c5fcf9f.jpg#0	インラインスケートでガードレールの上でトリックをしている少年。
2846785268_904c5fcf9f.jpg#1	人が障壁にジャンプします。
2846785268_904c5fcf9f.jpg#2	ローラーブレードを着た人が黄色のゲートを飛び越えます。
2846785268_904c5fcf9f.jpg#3	若い大人が黄色いバリケードにジャンプします。
2846785268_904c5fcf9f.jpg#4	黄色い道路の壁を粉砕するローラーブレダー
2846843520_b0e6211478.jpg#0	砂の中でボールを掘る茶色の犬
2846843520_b0e6211478.jpg#1	茶色の犬がオレンジ色のボールを求めて砂を掘ります。
2846843520_b0e6211478.jpg#2	茶色の犬は、未舗装の穴に落ちたオレンジ色のボールを取り戻そうとしています。
2846843520_b0e6211478.jpg#3	オレンジ色のボールを手に入れようとする汚れに穴を掘る犬。
2846843520_b0e6211478.jpg#4	砂の中でボールを掘って犬。
2847514745_9a35493023.jpg#0	人々のグループは、草の中の大きな赤いレンガ造りの建物の近くに座っています。
2847514745_9a35493023.jpg#1	芝生の上に座っている人がいる赤い建物。
2847514745_9a35493023.jpg#2	子供たちがその外に座っている学校のように見えます。
2847514745_9a35493023.jpg#3	大きな建物の外の円に座っている人々。
2847514745_9a35493023.jpg#4	一部の生徒は、草の中の学校の建物の外に座っています。
2847615962_c330bded6e.jpg#0	犬はポーチのマットレスの上に置かれます。
2847615962_c330bded6e.jpg#1	犬がポーチに置かれたマットレスの上に転がり、背中を傷つけます。
2847615962_c330bded6e.jpg#2	ポーチに置かれたパッドの上で転がっている斑点のある犬。
2847615962_c330bded6e.jpg#3	ポーチで背中を転がしている白い犬。
2847615962_c330bded6e.jpg#4	斑点のある犬が背中を転がします。
2847859796_4d9cb0d31f.jpg#0	カラフルなゴーグルの子供がプールで遊んでいます。
2847859796_4d9cb0d31f.jpg#1	子供はサメのゴーグルを着たプールにいます。
2847859796_4d9cb0d31f.jpg#2	プールでゴーグルを装着した女の子
2847859796_4d9cb0d31f.jpg#3	緑のゴーグルで泳いでいる若い女の子
2847859796_4d9cb0d31f.jpg#4	顔が水没した泳ぎのゴーグルを備えた子供
2848266893_9693c66275.jpg#0	白いスーツを着た男が新聞を持って通りを歩いています。
2848266893_9693c66275.jpg#1	白いスーツを着た男は、新聞を運んで外に出ます。
2848266893_9693c66275.jpg#2	通りを歩いている新聞を持って白いスーツを着た男。
2848266893_9693c66275.jpg#3	新聞を持っている男は、白いスーツ、黒いシャツ、黒い靴を履いています。
2848266893_9693c66275.jpg#4	男は白いスーツを着て、路上を歩いています。
2848571082_26454cb981.jpg#0	黒と茶色の犬がサッカーボールをキャッチするために空中にジャンプします。
2848571082_26454cb981.jpg#1	黒犬がジャンプしてヤードでボールをキャッチします。
2848571082_26454cb981.jpg#2	白い犬が白いボールにジャンプします。
2848571082_26454cb981.jpg#3	サッカーボールをキャッチするためにジャンプする犬。
2848571082_26454cb981.jpg#4	黒と茶色の犬がボールをキャッチするために空中にジャンプします。
2848895544_6d06210e9d.jpg#0	別の男の子が蹴るためにサッカーボールを持っている小さな男の子。
2848895544_6d06210e9d.jpg#1	非常に小さな男の子がサッカーボールがゴールに入るのを止めています。
2848895544_6d06210e9d.jpg#2	ゴールキーパーを演じている少年は、彼の手でサッカーボールを止めます。
2848895544_6d06210e9d.jpg#3	ゴールネットの近くでサッカーボールで遊ぶ子供たち。
2848895544_6d06210e9d.jpg#4	制服を着た2人の小さな男の子がサッカーをします。
2848977044_446a31d86e.jpg#0	カウボーイは馬から逆さまにぶら下がっています。
2848977044_446a31d86e.jpg#1	ロデオの男が逆さまに馬に乗っていて、サドルではなく馬に乗っています
2848977044_446a31d86e.jpg#2	男がロデオで馬の横に逆さまに乗っています。
2848977044_446a31d86e.jpg#3	ロデオライダーが馬から頭の最初のものを投げられました。
2848977044_446a31d86e.jpg#4	観客が見ているように、茶色の馬に垂直のトリックをしているロデオライダー。
2849194983_2968c72832.jpg#0	女の子は水の中に泡を吹きます。
2849194983_2968c72832.jpg#1	頭が口から水から突き出ている女の子。
2849194983_2968c72832.jpg#2	茶色の目を持つ女の子が水の中に座っています。
2849194983_2968c72832.jpg#3	少女は水の上に頭だけで泳いでいます。
2849194983_2968c72832.jpg#4	茶色の髪の少女が水の中で泳いでいます。
2850719435_221f15e951.jpg#0	赤いシャツを着た男の子と黄色いシャツを着た男の子が、外のトランポリンに飛び乗っています。
2850719435_221f15e951.jpg#1	子供たちはトランポリンに飛び乗っています。
2850719435_221f15e951.jpg#2	子供たちは青い縁取られたトランポリンに飛び乗っています。
2850719435_221f15e951.jpg#3	2人の子供が緑の近くのティールトランポリンで遊んでいます。
2850719435_221f15e951.jpg#4	2人の若い男の子がトランポリンにジャンプし、他の2人の子供が座っています。
2851198725_37b6027625.jpg#0	男は荒れた海でカヤックです。
2851198725_37b6027625.jpg#1	男はいくつかの白い海をカヤックしています。
2851198725_37b6027625.jpg#2	荒れ狂う川でのカヤック。
2851198725_37b6027625.jpg#3	リバーラピッズをカヤーキングする男。
2851198725_37b6027625.jpg#4	黄色いジャケットの男は、白い水を通して赤いカヤックを埋めています。
2851304910_b5721199bc.jpg#0	写真家は丘を見渡します。
2851304910_b5721199bc.jpg#1	赤いジャケットを着た女性は、自然の風景をビデオ録画しています。
2851304910_b5721199bc.jpg#2	カメラを持った女性がなだらかな丘を見渡しています。
2851304910_b5721199bc.jpg#3	三脚にカメラを持っている女性が景色を見ています。
2851304910_b5721199bc.jpg#4	レッド・イン・レッドのシャツは、何かを録音するためにフィールドにカメラをセットアップしています。
2851931813_eaf8ed7be3.jpg#0	白いシャツとジーンズを着た女の赤ちゃんが通りのそばに草の上に座っています。
2851931813_eaf8ed7be3.jpg#1	女の子の幼児が草の上に座っています。
2851931813_eaf8ed7be3.jpg#2	小さな女の子が草の中に座って、腕の岩のバランスをとっています。
2851931813_eaf8ed7be3.jpg#3	若い女の子が草の中に座っています。
2851931813_eaf8ed7be3.jpg#4	岩を投げる若い女の子。
2852982055_8112d0964f.jpg#0	女性が噴水で遊んでいる2人の小さな子供たちから目をそらしています。
2852982055_8112d0964f.jpg#1	2人の子供と1人の大人が噴水の近くにいます。
2852982055_8112d0964f.jpg#2	2人の子供と1人の女性が噴水で遊んでいます。
2852982055_8112d0964f.jpg#3	公共の噴水で遊んでいる2人の子供
2852982055_8112d0964f.jpg#4	女性、2人の子供が屋外の噴水で遊んでいます。
285306009_f6ddabe687.jpg#0	帽子とショートパンツの男が新聞を読んで金属のベンチに座っています。
285306009_f6ddabe687.jpg#1	Tシャツ、ショートパンツ、帽子をかぶった男、公園のベンチに座って紙を読んでいます。
285306009_f6ddabe687.jpg#2	男が木の上の紙を鉄の公園のベンチで読みます。
285306009_f6ddabe687.jpg#3	男が歩道の近くのベンチに座って、新聞を読んでいます。
285306009_f6ddabe687.jpg#4	男が新聞を読んでベンチに座っています。
2853205396_4fbe8d7a73.jpg#0	黒と白の犬が水に飛び込んでいます。
2853205396_4fbe8d7a73.jpg#1	犬が走って水の中を遊びます。
2853205396_4fbe8d7a73.jpg#2	少し白と茶色の犬が水中で走っています。
2853205396_4fbe8d7a73.jpg#3	白と黒の犬が水に飛び込みます。
2853205396_4fbe8d7a73.jpg#4	白い犬が水を横切って走ります。
2853407781_c9fea8eef4.jpg#0	茶色のジャケットとベージュの帽子をかぶった男が、発泡スチロールカップから飲んでいます。
2853407781_c9fea8eef4.jpg#1	ジャケットと帽子をかぶっている男は、しゃがんでカップから飲んでいます。
2853407781_c9fea8eef4.jpg#2	コーヒーを飲む革のジャケットを着た男。
2853407781_c9fea8eef4.jpg#3	男が飲み物をすすりながら建物の隣でしゃがみ込んでいます。
2853407781_c9fea8eef4.jpg#4	コートを着た男は、白いカップからの壁の飲酒に寄りかかっています。
2853743795_e90ebc669d.jpg#0	赤と白のバーを飛び越える黒と白の犬。
2853743795_e90ebc669d.jpg#1	黒と白の犬が赤と白のポールを飛び越え、緑色のシャツを着た少年が監視されます。
2853743795_e90ebc669d.jpg#2	犬が赤と白のバーを飛び越えています。
2853743795_e90ebc669d.jpg#3	背景に男の子とポールを飛び越える犬
2853743795_e90ebc669d.jpg#4	少年が見ている間、犬は赤と白のポールを飛び越えます
2853811730_fbb8ab0878.jpg#0	白いシャツを着た男が、バンジョーやギターを持ってテントに立っています。
2853811730_fbb8ab0878.jpg#1	男がギターを弾くテントの下に立っています。
2853811730_fbb8ab0878.jpg#2	弦楽器を持っている男が立っています。
2853811730_fbb8ab0878.jpg#3	サングラスを着た男がギターを持っているバンド機器の前に立っています。
2853811730_fbb8ab0878.jpg#4	バンジョーを演奏している若いaldげた男。
